month,total.total,timeRange.start,timeRange.end
2001-06-07T00:00:00.000Z,41,2001-06-07T00:00:00.000Z,2001-06-08T00:00:00.000Z
2001-06-08T00:00:00.000Z,68,2001-06-08T00:00:00.000Z,2001-06-09T00:00:00.000Z
2001-06-09T00:00:00.000Z,20,2001-06-09T00:00:00.000Z,2001-06-10T00:00:00.000Z
2001-06-10T00:00:00.000Z,40,2001-06-10T00:00:00.000Z,2001-06-11T00:00:00.000Z
2001-06-11T00:00:00.000Z,60,2001-06-11T00:00:00.000Z,2001-06-12T00:00:00.000Z
2001-06-12T00:00:00.000Z,60,2001-06-12T00:00:00.000Z,2001-06-13T00:00:00.000Z
2001-06-13T00:00:00.000Z,52,2001-06-13T00:00:00.000Z,2001-06-14T00:00:00.000Z
2001-06-14T00:00:00.000Z,49,2001-06-14T00:00:00.000Z,2001-06-15T00:00:00.000Z
2001-06-15T00:00:00.000Z,67,2001-06-15T00:00:00.000Z,2001-06-16T00:00:00.000Z
2001-06-16T00:00:00.000Z,41,2001-06-16T00:00:00.000Z,2001-06-17T00:00:00.000Z
2001-06-17T00:00:00.000Z,16,2001-06-17T00:00:00.000Z,2001-06-18T00:00:00.000Z
2001-06-18T00:00:00.000Z,50,2001-06-18T00:00:00.000Z,2001-06-19T00:00:00.000Z
2001-06-19T00:00:00.000Z,57,2001-06-19T00:00:00.000Z,2001-06-20T00:00:00.000Z
2001-06-20T00:00:00.000Z,34,2001-06-20T00:00:00.000Z,2001-06-21T00:00:00.000Z
2001-06-21T00:00:00.000Z,48,2001-06-21T00:00:00.000Z,2001-06-22T00:00:00.000Z
2001-06-22T00:00:00.000Z,77,2001-06-22T00:00:00.000Z,2001-06-23T00:00:00.000Z
2001-06-23T00:00:00.000Z,23,2001-06-23T00:00:00.000Z,2001-06-24T00:00:00.000Z
2001-06-24T00:00:00.000Z,15,2001-06-24T00:00:00.000Z,2001-06-25T00:00:00.000Z
2001-06-25T00:00:00.000Z,48,2001-06-25T00:00:00.000Z,2001-06-26T00:00:00.000Z
2001-06-26T00:00:00.000Z,66,2001-06-26T00:00:00.000Z,2001-06-27T00:00:00.000Z
2001-06-27T00:00:00.000Z,45,2001-06-27T00:00:00.000Z,2001-06-28T00:00:00.000Z
2001-06-28T00:00:00.000Z,75,2001-06-28T00:00:00.000Z,2001-06-29T00:00:00.000Z
2001-06-29T00:00:00.000Z,113,2001-06-29T00:00:00.000Z,2001-06-30T00:00:00.000Z
2001-06-30T00:00:00.000Z,71,2001-06-30T00:00:00.000Z,2001-07-01T00:00:00.000Z
2001-07-01T00:00:00.000Z,28,2001-07-01T00:00:00.000Z,2001-07-02T00:00:00.000Z
